-310.131875066267,-315.598621685716,-310.128213175315,-310.119337556976,-311.200038033287,-310.138859592131
-310.131907578025,-315.735342123794,-310.128210585369,-310.139665727034,-309.769094331879,-310.14022275231
-310.131899400384,-315.514123121383,-310.128352620195,-310.147535791961,-310.767013356368,-310.13468091414
-310.131979603933,-315.649905488219,-310.128373218349,-310.151750110391,-309.282088912889,-310.152741320142
-310.131768704208,-315.93546442906,-310.128409706702,-310.14058572359,-311.689226050146,-310.125518670873
-310.132078283301,-316.210074944174,-310.128246750066,-310.116185577975,-311.141369995661,-310.135897103996
-310.132151645675,-315.863144525889,-310.128429678912,-310.127728073125,-310.289663762854,-310.137427216056
-310.131781734813,-315.839690527954,-310.128300788023,-310.147799236912,-310.275198608824,-310.124052536542
-310.131866214581,-315.698791353216,-310.128106696364,-310.134249369734,-310.465918914077,-310.127390879759
-310.131797609191,-315.702357615679,-310.128050686585,-310.07389079829,-310.599960566503,-310.137000312001
-310.131942334281,-316.046466870544,-310.128319846429,-310.143932517408,-310.041976695055,-310.142673597865
-310.131810281756,-315.595706312615,-310.128313898688,-310.124088163895,-310.382952609252,-310.123771113745
-310.132050407744,-315.604378012603,-310.128261238599,-310.130548648716,-309.894431332709,-310.133295144835
-310.13194164776,-315.766973166589,-310.128245627013,-310.127449974165,-309.762742062333,-310.15293714311
-310.131925010999,-316.841923529332,-310.128263797302,-310.128744501073,-310.901737762399,-310.119038877234
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
