"u1","u2","psi_u"
0.565341473773493,0.238253352506298,0.051492950750302
0.298403966591671,0.743522971578569,1.36068234965252
0.773860632471124,0.176781410999965,0.0292443448214802
0.899874498037883,0.132435347229333,0.0124551668902501
0.696855573097852,0.233110809810854,0.0716976980008558
0.647574328812792,0.0270745645705136,1.1266659662945e-05
0.0013654623608742,0.874363564134823,5.44875998243346e-05
0.0917889629187273,0.306819408857728,0.00373320849781308
0.978962608981974,0.196066540353205,0.0708135156032366
0.0136476416008383,0.279006225946884,5.64339956738903e-05
0.060611073655839,0.344414680168236,0.00258464306319286
0.559634334029341,0.0780979314029323,0.000582554859501897
0.756981470348429,0.205487039687226,0.0510832175830627
0.788129215595011,0.0520230122462734,0.000227481895779819
0.499688837818683,0.11335736868306,0.00206142873582092
0.253563347298305,0.304110757540256,0.027496036083311
0.135919684215068,0.0780471631304019,3.42738747720062e-05
0.341709005538748,0.0499589456587446,3.63693811173933e-05
0.989095975801289,0.252948387997853,0.200250928478323
0.289948321036865,0.0537662490708827,3.51277359181026e-05
0.630234697830184,0.311116723248692,0.186066439906353
0.648784397021789,0.186667279644637,0.0255530998219647
0.41190394833591,0.401623341243673,0.220717970266901
0.520937006694491,0.333453501403384,0.16775734842843
0.499618569934508,0.440651772211686,0.470575413653638
0.895968856313975,0.190867102906254,0.0532696886610243
0.322258654144034,0.281459157251495,0.032586724894795
0.235264316652698,0.735474982977194,0.809755201369867
0.483108188275877,0.280816279064986,0.0725684627183863
0.473655059677272,0.222409776443543,0.0274479466156594
0.742485723104048,0.221763845716994,0.066666736528734
0.11437287994052,0.0632133872104984,1.0443651386371e-05
0.0459607789165624,0.385458078239494,0.00233159637887008
0.753346193938302,0.0358823479470765,4.70416573301715e-05
0.150186888894118,0.366798270008678,0.0204147074659479
0.193048199679012,0.515800689897396,0.131895260744636
0.469043837552587,0.328794867040107,0.12855737293416
0.00600911446631791,0.193394672354217,2.52562566343819e-06
0.846142269456285,0.208677239115802,0.0678823885253562
0.0323988617545042,0.234490606112053,0.000158683330345621
0.0121269291673766,0.402667531970049,0.0001933116988356
0.153404792658663,0.0440007800721789,4.4105156182324e-06
0.173851260815864,0.243076676542171,0.00527592791309341
0.0250152833528081,0.672152791679649,0.00638635247610609
0.132302090613682,0.412918842868848,0.0254426430301
0.700229225262621,0.234432879172684,0.0740499134725313
0.151568223667554,0.0981038015786366,0.000106397071255143
0.267987319452686,0.455733238558244,0.154896395768867
0.145892358453714,0.828337396855433,0.501030506482053
0.352303830649562,0.121160623127327,0.00133736738603603
0.0524935115470523,0.620333810324548,0.02040248491277
0.886326599839772,0.298817119529092,0.313169508650363
0.970483080908885,0.148690809036624,0.0230187872589144
0.493397651560845,0.438331473657332,0.449339691346101
0.371456133439088,0.588447396404049,0.827209768672866
0.274019924645681,0.334039254543827,0.0467438320352809
0.899439122664496,0.0790450039111973,0.00157910589033176
0.0538465187681749,0.264226252086628,0.000706625205104991
0.571172969055024,0.425406042730368,0.534219719516847
0.6554935279247,0.0119636758302286,4.40114186347587e-07
0.0999888424499938,0.259941498409398,0.00228231485995856
0.450566972717365,0.0341301407612548,1.37733958752178e-05
0.901948650298736,0.0506082024016471,0.000266819322017796
0.0985842051831929,0.393910728950842,0.0116997322371267
0.306125087610077,0.385596032825243,0.103585287885283
0.69190136963822,0.413056218408128,0.696778984865312
0.296755889378044,0.496539402738933,0.267660057981152
0.431941991221937,0.257170203151152,0.0408040666348208
0.17426622319677,0.0823084514498885,6.96905939948534e-05
0.443275513754914,0.650713138300478,1.76147218597398
0.0840512668093857,0.296986254964854,0.0027479190243198
0.585608859875139,0.254876809472242,0.0723613348711363
0.763263525657093,0.301400571869474,0.240378328271532
